17-8-8 14:33:15.9|Info|added_indexerstatus|Starting migration to 91
17-8-8 14:33:15.9|Info|MigrationLogger|*** 92: add_unverifiedscenenumbering migrating ***
17-8-8 14:33:15.9|Info|add_unverifiedscenenumbering|Starting migration to 92
17-8-8 14:33:15.9|Info|MigrationLogger|*** 93: naming_config_replace_illegal_characters migrating ***
17-8-8 14:33:15.9|Info|naming_config_replace_illegal_characters|Starting migration to 93
17-8-8 14:33:15.9|Info|MigrationLogger|*** 94: add_tvmazeid migrating ***
17-8-8 14:33:15.9|Info|add_tvmazeid|Starting migration to 94
17-8-8 14:33:15.9|Info|MigrationLogger|*** 95: add_additional_episodes_index migrating ***
17-8-8 14:33:15.9|Info|add_additional_episodes_index|Starting migration to 95
17-8-8 14:33:16.0|Info|MigrationLogger|*** 96: disable_kickass migrating ***
17-8-8 14:33:16.0|Info|disable_kickass|Starting migration to 96
17-8-8 14:33:16.0|Info|MigrationLogger|*** 98: remove_titans_of_tv migrating ***
17-8-8 14:33:16.0|Info|remove_titans_of_tv|Starting migration to 98
17-8-8 14:33:16.0|Info|MigrationLogger|*** 99: extra_and_subtitle_files migrating ***
17-8-8 14:33:16.0|Info|extra_and_subtitle_files|Starting migration to 99
17-8-8 14:33:16.1|Info|MigrationLogger|*** 100: add_scene_season_number migrating ***
17-8-8 14:33:16.1|Info|add_scene_season_number|Starting migration to 100
17-8-8 14:33:16.1|Info|MigrationLogger|*** 101: add_ultrahd_quality_in_profiles migrating ***
17-8-8 14:33:16.1|Info|add_ultrahd_quality_in_profiles|Starting migration to 101
17-8-8 14:33:16.2|Info|MigrationLogger|*** 103: fix_metadata_file_extensions migrating ***
17-8-8 14:33:16.2|Info|fix_metadata_file_extensions|Starting migration to 103
17-8-8 14:33:16.2|Info|MigrationLogger|*** 104: add_moviefiles_table migrating ***
17-8-8 14:33:16.2|Info|add_moviefiles_table|Starting migration to 104
17-8-8 14:33:16.2|Info|MigrationLogger|*** 105: fix_history_movieId migrating ***
17-8-8 14:33:16.2|Info|fix_history_movieId|Starting migration to 105
17-8-8 14:33:16.2|Info|MigrationLogger|*** 106: add_tmdb_stuff migrating ***
17-8-8 14:33:16.2|Info|add_tmdb_stuff|Starting migration to 106
17-8-8 14:33:16.3|Info|MigrationLogger|*** 107: fix_movie_files migrating ***
17-8-8 14:33:16.3|Info|fix_movie_files|Starting migration to 107
17-8-8 14:33:16.4|Info|MigrationLogger|*** 108: update_schedule_intervale migrating ***
17-8-8 14:33:16.4|Info|update_schedule_intervale|Starting migration to 108
17-8-8 14:33:16.4|Info|MigrationLogger|*** 109: add_movie_formats_to_naming_config migrating ***
17-8-8 14:33:16.4|Info|add_movie_formats_to_naming_config|Starting migration to 109
17-8-8 14:33:16.5|Info|MigrationLogger|*** 110: add_phyiscal_release migrating ***
17-8-8 14:33:16.5|Info|add_phyiscal_release|Starting migration to 110
17-8-8 14:33:16.5|Info|MigrationLogger|*** 111: remove_bitmetv migrating ***
17-8-8 14:33:16.5|Info|remove_bitmetv|Starting migration to 111
17-8-8 14:33:16.5|Info|MigrationLogger|*** 112: remove_torrentleech migrating ***
17-8-8 14:33:16.5|Info|remove_torrentleech|Starting migration to 112
17-8-8 14:33:16.5|Info|MigrationLogger|*** 113: remove_broadcasthenet migrating ***
17-8-8 14:33:16.5|Info|remove_broadcasthenet|Starting migration to 113
17-8-8 14:33:16.6|Info|MigrationLogger|*** Migrating data source=/home/k/.config/Radarr/logs.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
17-8-8 14:33:16.7|Info|MigrationLogger|*** VersionMigration migrating ***
17-8-8 14:33:16.7|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
17-8-8 14:33:16.7|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
17-8-8 14:33:16.7|Info|MigrationLogger|*** 1: InitialSetup migrating ***
17-8-8 14:33:16.7|Info|InitialSetup|Starting migration to 1
17-8-8 14:33:16.8|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
17-8-8 14:33:16.8|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
